date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:06:30	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2019%20Jul%202024%2015:06:28%20GMT	https://tibotiber.observablehq.cloud/robots.txt		(from )
10:06:30	18568/18568	---MCZ	200	added ('OK')	text/html	etag:W/%220027d3c6fb34c3fe636a2611d49dfd88%22	https://tibotiber.observablehq.cloud/smplrvable/	C:/My%20Web%20Sites/co2/tibotiber.observablehq.cloud/smplrvable/index.html	(from )
10:06:31	23650/23650	---MCZ	200	added ('OK')	text/css	etag:W/%222d23206c1b6924909324362569e6d1f8%22	https://tibotiber.observablehq.cloud/smplrvable/_observablehq/theme-air,near-midnight,wide.css	C:/My%20Web%20Sites/co2/tibotiber.observablehq.cloud/smplrvable/_observablehq/theme-air,near-midnight,wide.css	(from https://tibotiber.observablehq.cloud/smplrvable/)
10:06:31	3999/3999	---MCZ	200	added ('OK')	text/css	etag:W/%22d9ab48ea2312b2781be6c8f113c51009%22	https://tibotiber.observablehq.cloud/smplrvable/_observablehq/stdlib/inputs.css	C:/My%20Web%20Sites/co2/tibotiber.observablehq.cloud/smplrvable/_observablehq/stdlib/inputs.css	(from https://tibotiber.observablehq.cloud/smplrvable/)
10:06:31	11522/11522	---MCZ	200	added ('OK')	application/javascript	etag:W/%22021eae119b8498967a10216ab9ddad2a%22	https://tibotiber.observablehq.cloud/smplrvable/_observablehq/client.js	C:/My%20Web%20Sites/co2/tibotiber.observablehq.cloud/smplrvable/_observablehq/client.js	(from https://tibotiber.observablehq.cloud/smplrvable/)
10:06:32	31022/31022	---MCZ	200	added ('OK')	application/javascript	etag:W/%2245167b9e0660cb5f1382036c75c7bc5b%22	https://tibotiber.observablehq.cloud/smplrvable/_observablehq/runtime.js	C:/My%20Web%20Sites/co2/tibotiber.observablehq.cloud/smplrvable/_observablehq/runtime.js	(from https://tibotiber.observablehq.cloud/smplrvable/)
10:06:32	6688/6688	---MCZ	200	added ('OK')	application/javascript	etag:W/%22292661e4812cb31e45cc7ee95f5b1fd0%22	https://tibotiber.observablehq.cloud/smplrvable/_observablehq/stdlib.js	C:/My%20Web%20Sites/co2/tibotiber.observablehq.cloud/smplrvable/_observablehq/stdlib.js	(from https://tibotiber.observablehq.cloud/smplrvable/)
10:06:32	3056/3056	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ca37769ae6ad6475b3a3baac21b6f984%22	https://tibotiber.observablehq.cloud/smplrvable/_import/data/sensors.fd746609.js	C:/My%20Web%20Sites/co2/tibotiber.observablehq.cloud/smplrvable/_import/data/sensors.fd746609.js	(from https://tibotiber.observablehq.cloud/smplrvable/)
10:06:33	381178/381178	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d71749b366fa1278d32fd531350d0d9a%22	https://tibotiber.observablehq.cloud/smplrvable/_import/data/co2.67289546.js	C:/My%20Web%20Sites/co2/tibotiber.observablehq.cloud/smplrvable/_import/data/co2.67289546.js	(from https://tibotiber.observablehq.cloud/smplrvable/)
10:06:33	56186/56186	---MCZ	200	added ('OK')	application/javascript	etag:W/%2258a5945b3ca8b3b8f0e1656bcf972e68%22	https://tibotiber.observablehq.cloud/smplrvable/_node/@mobily/ts-belt@3.13.1/index.js	C:/My%20Web%20Sites/co2/tibotiber.observablehq.cloud/smplrvable/_node/@mobily/ts-belt@3.13.1/index.js	(from https://tibotiber.observablehq.cloud/smplrvable/)
10:06:33	1480/1480	---MCZ	200	added ('OK')	application/javascript	etag:W/%224d1d684beed6f33798154e21ca52be24%22	https://tibotiber.observablehq.cloud/smplrvable/_node/@smplrspace/smplr-loader@2.16.1/index.js	C:/My%20Web%20Sites/co2/tibotiber.observablehq.cloud/smplrvable/_node/@smplrspace/smplr-loader@2.16.1/index.js	(from https://tibotiber.observablehq.cloud/smplrvable/)
10:06:33	1475/1475	---MCZ	200	added ('OK')	application/javascript	etag:W/%22021e95740ebcc73fc39e467072632d66%22	https://tibotiber.observablehq.cloud/smplrvable/_npm/d3@7.9.0/_esm.js	C:/My%20Web%20Sites/co2/tibotiber.observablehq.cloud/smplrvable/_npm/d3@7.9.0/_esm.js	(from https://tibotiber.observablehq.cloud/smplrvable/)
10:06:34	28584/28584	---MCZ	200	added ('OK')	application/javascript	etag:W/%220daddcee921872c606fe56dd416691b0%22	https://tibotiber.observablehq.cloud/smplrvable/_observablehq/stdlib/inputs.js	C:/My%20Web%20Sites/co2/tibotiber.observablehq.cloud/smplrvable/_observablehq/stdlib/inputs.js	(from https://tibotiber.observablehq.cloud/smplrvable/)
10:06:34	193937/193937	---MCZ	200	added ('OK')	application/javascript	etag:W/%22edf77c4a5ae36da6ee0d40311efcd503%22	https://tibotiber.observablehq.cloud/smplrvable/_npm/@observablehq/plot@0.6.14/_esm.js	C:/My%20Web%20Sites/co2/tibotiber.observablehq.cloud/smplrvable/_npm/@observablehq/plot@0.6.14/_esm.js	(from https://tibotiber.observablehq.cloud/smplrvable/)
10:06:34	6877/6877	---MCZ	200	added ('OK')	application/javascript	etag:W/%2239a73ee6d936a8394388362bc929693b%22	https://tibotiber.observablehq.cloud/smplrvable/_npm/htl@0.3.1/_esm.js	C:/My%20Web%20Sites/co2/tibotiber.observablehq.cloud/smplrvable/_npm/htl@0.3.1/_esm.js	(from https://tibotiber.observablehq.cloud/smplrvable/)
10:06:35	944/944	---MCZ	200	added ('OK')	application/javascript	etag:W/%2227a8c0b31a370ae89cd45a3361a0888b%22	https://tibotiber.observablehq.cloud/smplrvable/_npm/isoformat@0.2.1/_esm.js	C:/My%20Web%20Sites/co2/tibotiber.observablehq.cloud/smplrvable/_npm/isoformat@0.2.1/_esm.js	(from https://tibotiber.observablehq.cloud/smplrvable/)
10:06:35	16542/16542	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f5b7bc9042e31f1f4d8b9296ff44bd0%22	https://tibotiber.observablehq.cloud/smplrvable/_npm/d3-array@3.2.4/_esm.js	C:/My%20Web%20Sites/co2/tibotiber.observablehq.cloud/smplrvable/_npm/d3-array@3.2.4/_esm.js	(from https://tibotiber.observablehq.cloud/smplrvable/)
10:06:35	3066/3066	---MCZ	200	added ('OK')	application/javascript	etag:W/%222d4b8e2d7b299631d8e13f88a5b69236%22	https://tibotiber.observablehq.cloud/smplrvable/_npm/d3-axis@3.0.0/_esm.js	C:/My%20Web%20Sites/co2/tibotiber.observablehq.cloud/smplrvable/_npm/d3-axis@3.0.0/_esm.js	(from https://tibotiber.observablehq.cloud/smplrvable/)
10:06:35	9714/9714	---MCZ	200	added ('OK')	application/javascript	etag:W/%224e88610be0fba14c3dbcac1c1443ecf7%22	https://tibotiber.observablehq.cloud/smplrvable/_npm/d3-brush@3.0.0/_esm.js	C:/My%20Web%20Sites/co2/tibotiber.observablehq.cloud/smplrvable/_npm/d3-brush@3.0.0/_esm.js	(from https://tibotiber.observablehq.cloud/smplrvable/)
10:06:36	4334/4334	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a5e9e2bf4e0bc47bf144dde95707ca47%22	https://tibotiber.observablehq.cloud/smplrvable/_npm/d3-chord@3.0.1/_esm.js	C:/My%20Web%20Sites/co2/tibotiber.observablehq.cloud/smplrvable/_npm/d3-chord@3.0.1/_esm.js	(from https://tibotiber.observablehq.cloud/smplrvable/)
